station,start_at,end_at,path,start_time,end_time,start_date,start_hour,start_mn
10,2022-02-28T18:00:09,2022-02-28T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220228180009_20220228190009.mp4,2022-02-28 18:00:09,2022-02-28 19:00:09,2022-02-28,18,0
2,2022-03-04T08:00:01,2022-03-04T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220304080001_20220304090001.mp4,2022-03-04 08:00:01,2022-03-04 09:00:01,2022-03-04,8,0
2,2022-02-28T09:00:01,2022-02-28T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228090001_20220228100001.mp4,2022-02-28 09:00:01,2022-02-28 10:00:01,2022-02-28,9,0
1,2022-03-05T09:00:00,2022-03-05T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220305090000_20220305100000.mp4,2022-03-05 09:00:00,2022-03-05 10:00:00,2022-03-05,9,0
10,2022-03-01T16:00:09,2022-03-01T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220301160009_20220301170009.mp4,2022-03-01 16:00:09,2022-03-01 17:00:09,2022-03-01,16,0
9,2022-03-02T10:00:08,2022-03-02T11:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220302100008_20220302110008.mp4,2022-03-02 10:00:08,2022-03-02 11:00:08,2022-03-02,10,0
1,2022-03-04T12:00:00,2022-03-04T13:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304120000_20220304130000.mp4,2022-03-04 12:00:00,2022-03-04 13:00:00,2022-03-04,12,0
9,2022-03-01T10:00:08,2022-03-01T11:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220301100008_20220301110008.mp4,2022-03-01 10:00:08,2022-03-01 11:00:08,2022-03-01,10,0
2,2022-03-04T12:00:01,2022-03-04T13:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220304120001_20220304130001.mp4,2022-03-04 12:00:01,2022-03-04 13:00:01,2022-03-04,12,0
1,2022-03-04T08:00:00,2022-03-04T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304080000_20220304090000.mp4,2022-03-04 08:00:00,2022-03-04 09:00:00,2022-03-04,8,0
1,2022-03-03T06:00:00,2022-03-03T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220303060000_20220303070000.mp4,2022-03-03 06:00:00,2022-03-03 07:00:00,2022-03-03,6,0
1,2022-02-28T09:00:00,2022-02-28T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228090000_20220228100000.mp4,2022-02-28 09:00:00,2022-02-28 10:00:00,2022-02-28,9,0
2,2022-03-05T09:00:01,2022-03-05T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220305090001_20220305100001.mp4,2022-03-05 09:00:01,2022-03-05 10:00:01,2022-03-05,9,0
10,2022-03-05T18:00:09,2022-03-05T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305180009_20220305190009.mp4,2022-03-05 18:00:09,2022-03-05 19:00:09,2022-03-05,18,0
10,2022-03-02T16:00:09,2022-03-02T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220302160009_20220302170009.mp4,2022-03-02 16:00:09,2022-03-02 17:00:09,2022-03-02,16,0
1,2022-02-28T12:00:00,2022-02-28T13:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228120000_20220228130000.mp4,2022-02-28 12:00:00,2022-02-28 13:00:00,2022-02-28,12,0
2,2022-02-28T08:00:01,2022-02-28T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228080001_20220228090001.mp4,2022-02-28 08:00:01,2022-02-28 09:00:01,2022-02-28,8,0
10,2022-03-04T18:00:09,2022-03-04T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220304180009_20220304190009.mp4,2022-03-04 18:00:09,2022-03-04 19:00:09,2022-03-04,18,0
10,2022-03-03T16:00:09,2022-03-03T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303160009_20220303170009.mp4,2022-03-03 16:00:09,2022-03-03 17:00:09,2022-03-03,16,0
2,2022-03-04T09:00:01,2022-03-04T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220304090001_20220304100001.mp4,2022-03-04 09:00:01,2022-03-04 10:00:01,2022-03-04,9,0
1,2022-03-05T08:00:00,2022-03-05T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220305080000_20220305090000.mp4,2022-03-05 08:00:00,2022-03-05 09:00:00,2022-03-05,8,0
1,2022-03-02T06:00:00,2022-03-02T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302060000_20220302070000.mp4,2022-03-02 06:00:00,2022-03-02 07:00:00,2022-03-02,6,0
2,2022-03-01T11:00:01,2022-03-01T11:41:05,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220301110001_20220301114105.mp4,2022-03-01 11:00:01,2022-03-01 11:41:05,2022-03-01,11,0
9,2022-02-28T10:00:08,2022-02-28T11:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220228100008_20220228110008.mp4,2022-02-28 10:00:08,2022-02-28 11:00:08,2022-02-28,10,0
1,2022-03-04T06:00:00,2022-03-04T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304060000_20220304070000.mp4,2022-03-04 06:00:00,2022-03-04 07:00:00,2022-03-04,6,0
1,2022-03-03T08:00:00,2022-03-03T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220303080000_20220303090000.mp4,2022-03-03 08:00:00,2022-03-03 09:00:00,2022-03-03,8,0
10,2022-03-05T16:00:09,2022-03-05T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305160009_20220305170009.mp4,2022-03-05 16:00:09,2022-03-05 17:00:09,2022-03-05,16,0
10,2022-03-02T18:00:09,2022-03-02T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220302180009_20220302190009.mp4,2022-03-02 18:00:09,2022-03-02 19:00:09,2022-03-02,18,0
1,2022-03-01T09:00:00,2022-03-01T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220301090000_20220301100000.mp4,2022-03-01 09:00:00,2022-03-01 10:00:00,2022-03-01,9,0
2,2022-03-02T09:00:01,2022-03-02T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302090001_20220302100001.mp4,2022-03-02 09:00:01,2022-03-02 10:00:01,2022-03-02,9,0
9,2022-03-05T11:00:08,2022-03-05T11:41:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220305110008_20220305114109.mp4,2022-03-05 11:00:08,2022-03-05 11:41:09,2022-03-05,11,0
2,2022-03-03T09:00:01,2022-03-03T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220303090001_20220303100001.mp4,2022-03-03 09:00:01,2022-03-03 10:00:01,2022-03-03,9,0
10,2022-03-04T16:00:09,2022-03-04T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220304160009_20220304170009.mp4,2022-03-04 16:00:09,2022-03-04 17:00:09,2022-03-04,16,0
10,2022-03-03T18:00:09,2022-03-03T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303180009_20220303190009.mp4,2022-03-03 18:00:09,2022-03-03 19:00:09,2022-03-03,18,0
10,2022-03-05T11:00:09,2022-03-05T11:41:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305110009_20220305114109.mp4,2022-03-05 11:00:09,2022-03-05 11:41:09,2022-03-05,11,0
1,2022-03-05T06:00:00,2022-03-05T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220305060000_20220305070000.mp4,2022-03-05 06:00:00,2022-03-05 07:00:00,2022-03-05,6,0
1,2022-03-02T08:00:00,2022-03-02T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302080000_20220302090000.mp4,2022-03-02 08:00:00,2022-03-02 09:00:00,2022-03-02,8,0
2,2022-03-01T08:00:01,2022-03-01T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220301080001_20220301090001.mp4,2022-03-01 08:00:01,2022-03-01 09:00:01,2022-03-01,8,0
1,2022-03-03T09:00:00,2022-03-03T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220303090000_20220303100000.mp4,2022-03-03 09:00:00,2022-03-03 10:00:00,2022-03-03,9,0
1,2022-02-28T06:00:00,2022-02-28T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228060000_20220228070000.mp4,2022-02-28 06:00:00,2022-02-28 07:00:00,2022-02-28,6,0
2,2022-03-02T08:00:01,2022-03-02T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302080001_20220302090001.mp4,2022-03-02 08:00:01,2022-03-02 09:00:01,2022-03-02,8,0
1,2022-03-01T08:00:00,2022-03-01T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220301080000_20220301090000.mp4,2022-03-01 08:00:00,2022-03-01 09:00:00,2022-03-01,8,0
9,2022-03-04T10:00:08,2022-03-04T11:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220304100008_20220304110008.mp4,2022-03-04 10:00:08,2022-03-04 11:00:08,2022-03-04,10,0
2,2022-03-03T08:00:01,2022-03-03T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220303080001_20220303090001.mp4,2022-03-03 08:00:01,2022-03-03 09:00:01,2022-03-03,8,0
10,2022-02-28T16:00:09,2022-02-28T17:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220228160009_20220228170009.mp4,2022-02-28 16:00:09,2022-02-28 17:00:09,2022-02-28,16,0
2,2022-03-01T09:00:01,2022-03-01T10:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220301090001_20220301100001.mp4,2022-03-01 09:00:01,2022-03-01 10:00:01,2022-03-01,9,0
10,2022-03-01T18:00:09,2022-03-01T19:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220301180009_20220301190009.mp4,2022-03-01 18:00:09,2022-03-01 19:00:09,2022-03-01,18,0
1,2022-03-02T09:00:00,2022-03-02T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302090000_20220302100000.mp4,2022-03-02 09:00:00,2022-03-02 10:00:00,2022-03-02,9,0
9,2022-03-05T10:00:08,2022-03-05T11:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220305100008_20220305110008.mp4,2022-03-05 10:00:08,2022-03-05 11:00:08,2022-03-05,10,0
9,2022-03-03T11:41:10,2022-03-03T13:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220303114110_20220303130008.mp4,2022-03-03 11:41:10,2022-03-03 13:00:08,2022-03-03,11,41
9,2022-03-04T15:00:08,2022-03-04T16:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220304150008_20220304160008.mp4,2022-03-04 15:00:08,2022-03-04 16:00:08,2022-03-04,15,0
10,2022-03-02T07:00:09,2022-03-02T08:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220302070009_20220302080009.mp4,2022-03-02 07:00:09,2022-03-02 08:00:09,2022-03-02,7,0
